Starting daily-ticket-health on port 8080
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
172.17.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
172.17.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
127.0.0.1 - "GET /health HTTP/1.1" 200 -
